('japan', 'nicholas burbules', {'weight': 0.6})
('japan', 'united states', {'weight': 0.6})
('japan', 'comparative research', {'weight': 0.6})
('japan', 'japan', {'weight': 1})
('japan', 'timss', {'weight': 0.6})
('japan', 'education', {'weight': 0.6})
('japan', 'andy hargreaves (academic)', {'weight': 0.6})
('japan', 'world council for comparative education societies', {'weight': 0.6})
('japan', 'liberal democracies', {'weight': 0.5})
('japan', 'constitutional monarchies', {'weight': 0.5})
('japan', 'carlos alberto torres (academic)', {'weight': 0.6})
('japan', 'islands portal', {'weight': 0.7})
('japan', 'asia portal', {'weight': 0.7})
('japan', 'tourism in japan', {'weight': 0.7})
('japan', 'pisa', {'weight': 0.6})
('japan', 'france', {'weight': 0.6})
('japan', 'harold j. noah', {'weight': 0.6})
('japan', 'international education', {'weight': 0.6})
('japan', 'g8 nations', {'weight': 0.5})
('japan', 'fernando reimers', {'weight': 0.6})
('japan', 'g7 nations', {'weight': 0.5})
('japan', 'john w. meyer', {'weight': 0.6})
('japan', 'kenneth leithwood', {'weight': 0.6})
('japan', 'authority control', {'weight': 0.6})
('japan', 'david g. hebert', {'weight': 0.6})
('japan', 'torsten husen', {'weight': 0.6})
('japan', 'secondary education', {'weight': 0.6})
('japan', 'japan portal', {'weight': 0.7})
('japan', 'outline of japan', {'weight': 0.7})
('japan', 'island countries', {'weight': 0.5})
('japan', 'unesco', {'weight': 0.6})
('japan', 'g20 nations', {'weight': 0.5})
('japan', 'comparative sociology', {'weight': 0.6})
('japan', 'northeast asian countries', {'weight': 0.5})
('japan', 'national diet library', {'weight': 0.6})
('japan', 'east asian countries', {'weight': 0.5})
('japan', 'mark bray', {'weight': 0.6})
('japan', 'current issues in comparative education', {'weight': 0.6})
('japan', 'international society for comparative adult education', {'weight': 0.6})
('japan', 'member states of the united nations', {'weight': 0.5})
('japan', 'comparative education review', {'weight': 0.6})
('japan', 'states and territories established in 660 bc', {'weight': 0.5})
('japan', 'index of japan-related articles', {'weight': 0.7})
('world council for comparative education societies', 'nicholas burbules', {'weight': 0.6})
('world council for comparative education societies', 'united states', {'weight': 0.6})
('world council for comparative education societies', 'comparative research', {'weight': 0.6})
('world council for comparative education societies', 'timss', {'weight': 0.6})
('world council for comparative education societies', 'japan', {'weight': 0.6})
('world council for comparative education societies', 'education', {'weight': 0.6})
('world council for comparative education societies', 'fernando reimers', {'weight': 0.6})
('world council for comparative education societies', 'carlos alberto torres (academic)', {'weight': 0.6})
('world council for comparative education societies', 'pisa', {'weight': 0.6})
('world council for comparative education societies', 'france', {'weight': 0.6})
('world council for comparative education societies', 'harold j. noah', {'weight': 0.6})
('world council for comparative education societies', 'international education', {'weight': 0.6})
('world council for comparative education societies', 'international society for comparative adult education', {'weight': 0.6})
('world council for comparative education societies', 'world council for comparative education societies', {'weight': 1})
('world council for comparative education societies', 'john w. meyer', {'weight': 0.6})
('world council for comparative education societies', 'kenneth leithwood', {'weight': 0.6})
('world council for comparative education societies', 'authority control', {'weight': 0.6})
('world council for comparative education societies', 'david g. hebert', {'weight': 0.6})
('world council for comparative education societies', 'torsten husen', {'weight': 0.6})
('world council for comparative education societies', 'educational organizations', {'weight': 0.5})
('world council for comparative education societies', 'secondary education', {'weight': 0.6})
('world council for comparative education societies', 'unesco', {'weight': 0.6})
('world council for comparative education societies', 'andy hargreaves (academic)', {'weight': 0.6})
('world council for comparative education societies', 'comparative sociology', {'weight': 0.6})
('world council for comparative education societies', 'national diet library', {'weight': 0.6})
('world council for comparative education societies', 'mark bray', {'weight': 0.6})
('world council for comparative education societies', 'current issues in comparative education', {'weight': 0.6})
('world council for comparative education societies', 'comparative education review', {'weight': 0.6})
('philosophy of education', 'nicholas burbules', {'weight': 0.6})
('philosophy of education', 'united states', {'weight': 0.6})
('philosophy of education', 'comparative research', {'weight': 0.6})
('philosophy of education', 'timss', {'weight': 0.6})
('philosophy of education', 'japan', {'weight': 0.6})
('philosophy of education', 'education', {'weight': 0.6})
('philosophy of education', 'world council for comparative education societies', {'weight': 0.6})
('philosophy of education', 'carlos alberto torres (academic)', {'weight': 0.6})
('philosophy of education', 'philosophy of education', {'weight': 1})
('philosophy of education', 'pisa', {'weight': 0.6})
('philosophy of education', 'france', {'weight': 0.6})
('philosophy of education', 'harold j. noah', {'weight': 0.6})
('philosophy of education', 'international education', {'weight': 0.6})
('philosophy of education', 'philosophy of social science', {'weight': 0.5})
('philosophy of education', 'fernando reimers', {'weight': 0.6})
('philosophy of education', 'john w. meyer', {'weight': 0.6})
('philosophy of education', 'kenneth leithwood', {'weight': 0.6})
('philosophy of education', 'authority control', {'weight': 0.6})
