('diplomacy', 'concept', {'weight': 0.6})
('diplomacy', 'international relations', {'weight': 0.7})
('diplomacy', 'diplomacy', {'weight': 1})
('diplomacy', 'preventive diplomacy', {'weight': 0.7})
('diplomacy', 'planning', {'weight': 0.6})
('diplomacy', 'plan (drawing)', {'weight': 0.6})
('diplomacy', 'lot (real estate)', {'weight': 0.6})
('diplomacy', 'intercultural competence', {'weight': 0.7})
('diplomacy', 'appeasement', {'weight': 0.7})
('diplomacy', 'foreign policy analysis', {'weight': 0.7})
('diplomacy', 'greenway (landscape)', {'weight': 0.6})
('diplomacy', 'list of architects', {'weight': 0.6})
('diplomacy', 'foreign minister', {'weight': 0.7})
('diplomacy', 'implementation', {'weight': 0.6})
('diplomacy', 'shuttle diplomacy', {'weight': 0.7})
('diplomacy', 'engineering drawing', {'weight': 0.6})
('diplomacy', 'objective (goal)', {'weight': 0.6})
('diplomacy', 'bunker', {'weight': 0.6})
('diplomacy', 'presentation', {'weight': 0.6})
('diplomacy', 'design brief', {'weight': 0.6})
('diplomacy', 'garden', {'weight': 0.6})
('diplomacy', 'abbot academy', {'weight': 0.6})
('diplomacy', 'list of international architecture schools', {'weight': 0.6})
('diplomacy', 'american horticultural society', {'weight': 0.6})
('diplomacy', 'floor plan', {'weight': 0.6})
('diplomacy', 'project architect', {'weight': 0.6})
('diplomacy', 'bank', {'weight': 0.6})
('diplomacy', 'school', {'weight': 0.6})
('diplomacy', 'proxenos', {'weight': 0.7})
('diplomacy', 'university', {'weight': 0.6})
('diplomacy', 'convention (norm)', {'weight': 0.6})
('diplomacy', 'architecture', {'weight': 0.6})
('diplomacy', 'cowboy diplomacy', {'weight': 0.7})
('diplomacy', 'track ii diplomacy', {'weight': 0.7})
('diplomacy', 'diplomatic mission', {'weight': 0.7})
('diplomacy', 'protocol (diplomacy)', {'weight': 0.7})
('diplomacy', 'plan view', {'weight': 0.6})
('diplomacy', 'multilateralism', {'weight': 0.7})
('diplomacy', 'transformational diplomacy', {'weight': 0.7})
('diplomacy', 'house', {'weight': 0.6})
('diplomacy', 'economic development', {'weight': 0.6})
('diplomacy', 'library', {'weight': 0.6})
('diplomacy', 'diplomatic gift', {'weight': 0.7})
('diplomacy', 'design', {'weight': 0.6})
('diplomacy', 'result', {'weight': 0.6})
('diplomacy', 'confidence-building measures', {'weight': 0.7})
