('psychological resistance', 'dry january', {'weight': 0.6})
('psychological resistance', 'william hogarth', {'weight': 0.6})
('psychological resistance', 'psychological resistance', {'weight': 1})
('psychological resistance', 'alcohol and health', {'weight': 0.6})
('psychological resistance', 'alcohol in the bible', {'weight': 0.6})
('psychological resistance', 'concordance (genetics)', {'weight': 0.6})
('psychological resistance', 'alcohol education', {'weight': 0.6})
('psychological resistance', 'alcoholism', {'weight': 0.6})
('psychological resistance', 'depression (mood)', {'weight': 0.6})
('psychological resistance', 'alcohol advertising on college campuses', {'weight': 0.6})
('psychological resistance', '0-0-1-3', {'weight': 0.6})
('psychological resistance', 'alcohol and cancer', {'weight': 0.6})
('psychological resistance', 'chicago, il', {'weight': 0.6})
('psychological resistance', 'freudian psychology', {'weight': 0.5})
('psychological resistance', 'alcoholic beverage', {'weight': 0.6})
('psychological resistance', 'islamic dietary laws', {'weight': 0.6})
('psychological resistance', 'digital object identifier', {'weight': 0.6})
('psychological resistance', 'pregaming', {'weight': 0.6})
('psychological resistance', 'anxiolytic', {'weight': 0.6})
('psychological resistance', 'alcohol use and sleep', {'weight': 0.6})
('psychological resistance', 'alcohol and native americans', {'weight': 0.6})
('psychological resistance', 'international standard serial number', {'weight': 0.6})
('psychological resistance', 'fantasy bond', {'weight': 0.7})
('psychological resistance', 'dionysian mysteries', {'weight': 0.6})
('psychological resistance', 'alcohol advertising', {'weight': 0.6})
('psychological resistance', 'alcoholics anonymous', {'weight': 0.6})
('psychological resistance', 'sober companion', {'weight': 0.6})
('psychological resistance', 'self-medication', {'weight': 0.6})
('psychological resistance', 'college student alcoholism', {'weight': 0.6})
('psychological resistance', 'alcohol server training', {'weight': 0.6})
('psychological resistance', 'sin tax', {'weight': 0.6})
('psychological resistance', 'adult children of alcoholics', {'weight': 0.6})
('psychological resistance', 'drunkorexia', {'weight': 0.6})
('psychological resistance', 'drug rehabilitation', {'weight': 0.6})
('psychological resistance', 'substance dependence', {'weight': 0.6})
('psychological resistance', 'substance abuse prevention', {'weight': 0.6})
('psychological resistance', 'euphoriant', {'weight': 0.6})
('psychological resistance', 'impact of alcohol on aging', {'weight': 0.6})
('psychological resistance', 'psychoanalytic terminology', {'weight': 0.5})
('psychological resistance', 'contemporary family therapy', {'weight': 0.6})
